time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),precipitation_sum (inch),rain_sum (inch),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h)
10/23/2015,84.1,56.2,81.4,53.6,0,0,4.8,11
10/24/2015,85.2,57.6,81.9,56,0,0,5.4,11
10/25/2015,85.4,60.6,80.8,58.2,0,0,9.2,19.5
10/26/2015,84.5,55.6,80.6,53.5,0,0,5.2,11.2
10/27/2015,79.6,58,75.2,54.5,0,0,7.3,15.2
10/28/2015,74.3,62.3,72.4,60,0.035,0.035,10.3,20.4
10/29/2015,76.6,56.5,71.4,54.5,0,0,8.1,19.5
10/30/2015,76.4,49.8,71.7,46.5,0,0,4.4,14.5
10/31/2015,82.8,51.3,78.8,47,0,0,5.2,10.3
11/1/2015,80,54.2,76.9,51.4,0,0,9.1,18.8
11/2/2015,61.9,50.6,59.8,44.5,0.594,0.594,14.5,31.3
11/3/2015,62.2,48.9,57.9,47.8,0.067,0.067,6.3,18.3
11/4/2015,63.1,46.5,57.3,41.8,0,0,7.3,17
11/5/2015,64.2,41.4,59.1,36.5,0,0,5.4,11
11/6/2015,65.8,47.3,61.2,42.6,0,0,5,11.9
11/7/2015,70.6,46,66.4,41.9,0,0,5.1,10.5
11/8/2015,71.3,43.1,66.5,38.8,0.071,0.071,11.7,21.5
11/9/2015,62.8,47.3,57.7,44.5,0.213,0.213,6.8,17
11/10/2015,57.6,42.5,51.8,40,0.024,0.024,7.8,17.9
11/11/2015,60.1,41.4,56.2,38.3,0,0,4.4,13
11/12/2015,62.2,39.9,57.5,35.6,0,0,5.5,15.9
11/13/2015,67,43.7,63.3,39.6,0,0,5.1,9.6
11/14/2015,72.9,41.4,67.9,37.7,0,0,6,12.5
11/15/2015,54.2,41.9,53,36,0.587,0.587,8.2,18.3
11/16/2015,57.6,42.1,48.4,33,0,0,14.9,26.6
11/17/2015,57.3,36,52.4,30.4,0,0,4.3,11.4
11/18/2015,59.8,38,57.4,33.1,0,0,4.1,13
11/19/2015,65.2,42.1,63.1,39,0,0,4.3,12.8
11/20/2015,66.1,42.9,64.6,39.3,0,0,5,12.8
11/21/2015,72.6,47.5,70.6,44.7,0,0,5.5,10.1
11/22/2015,75.1,43.3,72.5,39.8,0,0,3.9,10.7
11/23/2015,76.3,47.3,72.4,43.3,0,0,6.3,13.9
11/24/2015,66.5,45.7,61.1,42.1,0.181,0.181,10.3,27.5
11/25/2015,54,41,48.9,36.3,0.047,0.047,5.7,14.1
11/26/2015,53.8,36.7,47.4,31.5,0,0,7.1,13.2
11/27/2015,56.3,36.6,49.8,31.1,0,0,6,13.4
11/28/2015,57.3,36.1,51.7,30,0,0,5.4,10.5
11/29/2015,58.4,35.6,52.7,30.2,0,0,5.5,10.3
11/30/2015,58.2,34,51.3,28.5,0,0,4.7,12.5
12/1/2015,57.5,35.3,52.4,29.9,0,0,4.3,11.9
12/2/2015,61.6,37.7,56.7,32.1,0,0,4.5,8.9
12/3/2015,72.2,40.7,65.2,35,0.067,0.067,11.1,17
12/4/2015,62.2,45,55.8,40.7,0,0,10.1,22.4
12/5/2015,61,38.9,57.7,35.2,0,0,4.4,10.3
12/6/2015,68.3,40.7,63.8,35.4,0,0,5.2,12.8
12/7/2015,66.6,46.3,62.5,41.8,0,0,5.2,14.3
12/8/2015,60.1,45.1,58,42.5,0,0,4.8,13.2
12/9/2015,60.6,45,59,41.1,0,0,4.6,10.5
12/10/2015,58.3,44.6,55.8,40.5,0.177,0.177,7.3,15.2
12/11/2015,54.5,43.7,48.9,39.6,0.264,0.264,9.8,20.8
12/12/2015,55.6,41.8,50.7,37.3,0,0,5.4,14.3
12/13/2015,52.2,37.6,46.3,32.7,0.268,0.268,10.8,21.3
12/14/2015,52.3,34.9,43.8,29.1,0,0,11.2,22.4
12/15/2015,50.8,34.7,45,28.8,0,0,4.8,11.6
12/16/2015,51.6,33.1,46.1,26.8,0,0,5,8.9
12/17/2015,52.8,34.4,48.1,28.8,0,0,3.3,10.1
12/18/2015,59.5,33.1,55.4,27.4,0,0,4.8,8.5
12/19/2015,49.3,35.5,47,30.1,0.252,0.252,4.2,9.8
12/20/2015,53.5,36.5,48.7,31,0,0,5.7,11.4
12/21/2015,52.9,45.9,48.8,39.5,0.213,0.213,8.2,15
12/22/2015,61.4,51.1,61.2,47.7,0.673,0.673,7.8,17.9
12/23/2015,56,43.9,48.5,37.8,0,0,12.3,27.5
12/24/2015,50.4,36.1,44.6,31.5,0.22,0.22,7.8,15.2
12/25/2015,49.6,31.4,43.5,25.5,0,0,7.9,15
12/26/2015,49.1,31.4,43.6,25.2,0,0,5.2,12.1
